Year,Gold count,Silver count,Bronze count,None count,country_iso
1992,18,48,19,383,CHN
2012,56,40,29,354,CHN
2000,39,23,17,335,CHN
2004,52,27,15,424,CHN
2016,46,30,37,386,CHN
2006,2,5,6,133,CHN
1998,0,9,5,74,CHN
2002,2,5,9,92,CHN
1996,19,70,17,332,CHN
2008,74,53,57,546,CHN
2014,3,4,5,97,CHN
1984,24,13,37,319,CHN
1936,0,0,0,65,CHN
1980,0,0,0,38,CHN
1988,6,16,30,390,CHN
2010,9,3,7,108,CHN
1948,0,0,0,33,CHN
1994,0,1,2,40,CHN
1932,0,0,0,2,CHN
1952,0,0,0,1,CHN
1920,26,44,1,175,DNK
1948,7,17,24,199,DNK
1952,3,1,5,187,DNK
2000,18,3,4,87,DNK
1908,0,14,3,90,DNK
1972,1,0,0,154,DNK
1928,6,1,4,107,DNK
1996,21,1,1,110,DNK
1994,0,0,0,9,DNK
2010,0,0,0,23,DNK
1956,1,1,1,45,DNK
1906,14,19,1,23,DNK
1912,0,46,28,133,DNK
1932,0,7,4,83,DNK
1936,0,3,3,160,DNK
1992,3,2,9,135,DNK
2016,15,10,16,102,DNK
1960,2,12,4,86,DNK
2004,19,1,7,76,DNK
1924,2,6,3,140,DNK
1964,4,1,4,59,DNK
1976,3,0,5,73,DNK
1968,5,6,6,82,DNK
2008,6,7,3,85,DNK
2012,3,5,6,131,DNK
1984,0,3,10,61,DNK
1980,4,2,2,52,DNK
1988,3,1,3,124,DNK
1900,1,3,2,27,DNK
1998,0,5,0,14,DNK
2002,0,0,0,11,DNK
2006,0,0,0,4,DNK
2014,0,0,0,15,DNK
1896,1,2,3,9,DNK
1988,6,8,38,175,NLD
1992,6,21,10,260,NLD
1994,0,1,3,39,NLD
1932,2,10,1,65,NLD
1984,20,7,14,173,NLD
1996,38,9,26,213,NLD
2000,27,29,23,206,NLD
2016,9,25,11,276,NLD
1976,1,4,15,178,NLD
2012,21,29,19,149,NLD
1968,9,10,4,143,NLD
1980,1,3,6,149,NLD
1924,8,1,15,219,NLD
1928,20,23,8,333,NLD
2004,4,51,22,187,NLD
2008,39,15,4,218,NLD
1972,7,4,4,210,NLD
1952,0,21,0,174,NLD
1960,0,2,3,162,NLD
1964,6,11,16,131,NLD
1948,8,2,30,155,NLD
1936,8,7,19,204,NLD
2002,3,5,0,37,NLD
1908,0,0,12,202,NLD
1920,9,8,25,163,NLD
2014,13,7,9,53,NLD
1906,0,1,5,43,NLD
1900,0,0,6,40,NLD
2010,4,1,6,54,NLD
1912,0,0,26,19,NLD
1998,5,4,2,37,NLD
2006,3,2,8,46,NLD
1956,0,0,0,17,NLD
1992,94,57,87,730,USA
1994,6,8,5,218,USA
2004,117,75,71,463,USA
1928,53,30,19,369,USA
2010,12,63,22,244,USA
2014,10,30,24,303,USA
2016,139,54,71,455,USA
1900,30,16,17,72,USA
2008,127,110,80,446,USA
2000,130,61,51,522,USA
2012,145,57,46,441,USA
1924,98,46,50,306,USA
1904,128,141,125,715,USA
