Medal count,NOC,Year,continent,country_iso,region
32,GER,1896,Europe,DEU,Germany
48,GRE,1896,Europe,GRC,Greece
5,AUT,1896,Europe,AUT,Austria
9,GBR,1896,Europe,GBR,UK
3,SUI,1896,Europe,CHE,Switzerland
20,USA,1896,Americas,USA,USA
6,HUN,1896,Europe,HUN,Hungary
6,DEN,1896,Europe,DNK,Denmark
3,AUS,1896,Oceania,AUS,Australia
11,FRA,1896,Europe,FRA,France
5,HUN,1900,Europe,HUN,Hungary
1,HAI,1900,Americas,HTI,Haiti
3,MEX,1900,Americas,MEX,Mexico
6,AUT,1900,Europe,AUT,Austria
21,SUI,1900,Europe,CHE,Switzerland
2,ESP,1900,Europe,ESP,Spain
1,NZL,1900,Oceania,NZL,New Zealand
108,GBR,1900,Europe,GBR,UK
4,SWE,1900,Europe,SWE,Sweden
9,NOR,1900,Europe,NOR,Norway
9,DEN,1900,Europe,DNK,Denmark
1,LUX,1900,Europe,LUX,Luxembourg
5,ITA,1900,Europe,ITA,Italy
2,IND,1900,Asia,IND,India
63,USA,1900,Americas,USA,USA
1,COL,1900,Americas,COL,Colombia
2,CAN,1900,Americas,CAN,Canada
43,BEL,1900,Europe,BEL,Belgium
235,FRA,1900,Europe,FRA,France
2,CUB,1900,Americas,CUB,Cuba
27,NED,1900,Europe,NLD,Netherlands
45,GER,1900,Europe,DEU,Germany
6,AUS,1900,Oceania,AUS,Australia
2,FRA,1904,Europe,FRA,France
16,GER,1904,Europe,DEU,Germany
48,CAN,1904,Americas,CAN,Canada
4,AUS,1904,Oceania,AUS,Australia
4,AUT,1904,Europe,AUT,Austria
2,GRE,1904,Europe,GRC,Greece
2,NOR,1904,Europe,NOR,Norway
5,CUB,1904,Americas,CUB,Cuba
3,SUI,1904,Europe,CHE,Switzerland
4,HUN,1904,Europe,HUN,Hungary
394,USA,1904,Americas,USA,USA
2,GBR,1904,Europe,GBR,UK
9,AUT,1906,Europe,AUT,Austria
102,GRE,1906,Europe,GRC,Greece
13,HUN,1906,Europe,HUN,Hungary
11,BEL,1906,Europe,BEL,Belgium
39,GBR,1906,Europe,GBR,UK
56,ITA,1906,Europe,ITA,Italy
30,GER,1906,Europe,DEU,Germany
64,FRA,1906,Europe,FRA,France
34,DEN,1906,Europe,DNK,Denmark
4,FIN,1906,Europe,FIN,Finland
24,USA,1906,Americas,USA,USA
2,CAN,1906,Americas,CAN,Canada
25,NOR,1906,Europe,NOR,Norway
6,NED,1906,Europe,NLD,Netherlands
3,AUS,1906,Oceania,AUS,Australia
21,SWE,1906,Europe,SWE,Sweden
12,SUI,1906,Europe,CHE,Switzerland
4,GRE,1908,Europe,GRC,Greece
33,BEL,1908,Europe,BEL,Belgium
20,HUN,1908,Europe,HUN,Hungary
42,NOR,1908,Europe,NOR,Norway
16,NED,1908,Europe,NLD,Netherlands
65,USA,1908,Americas,USA,USA
8,ITA,1908,Europe,ITA,Italy
19,ANZ,1908,Oceania,AUS,Australia
1,AUT,1908,Europe,AUT,Austria
368,GBR,1908,Europe,GBR,UK
3,RUS,1908,Europe,RUS,Russia
40,FRA,1908,Europe,FRA,France
84,SWE,1908,Europe,SWE,Sweden
30,FIN,1908,Europe,FIN,Finland
2,RSA,1908,Africa,ZAF,South Africa
21,GER,1908,Europe,DEU,Germany
17,DEN,1908,Europe,DNK,Denmark
52,CAN,1908,Americas,CAN,Canada
170,GBR,1912,Europe,GBR,UK
2,SUI,1912,Europe,CHE,Switzerland
25,ITA,1912,Europe,ITA,Italy
26,FRA,1912,Europe,FRA,France
19,BEL,1912,Europe,BEL,Belgium
71,FIN,1912,Europe,FIN,Finland
53,GER,1912,Europe,DEU,Germany
2,GRE,1912,Europe,GRC,Greece
7,RSA,1912,Africa,ZAF,South Africa
87,DEN,1912,Europe,DNK,Denmark
8,CAN,1912,Americas,CAN,Canada
30,HUN,1912,Europe,HUN,Hungary
107,USA,1912,Americas,USA,USA
14,AUT,1912,Europe,AUT,Austria
26,NED,1912,Europe,NLD,Netherlands
10,ANZ,1912,Oceania,AUS,Australia
80,NOR,1912,Europe,NOR,Norway
190,SWE,1912,Europe,SWE,Sweden
14,RUS,1912,Europe,RUS,Russia
84,ITA,1920,Europe,ITA,Italy
188,BEL,1920,Europe,BEL,Belgium
137,NOR,1920,Europe,NOR,Norway
141,FRA,1920,Europe,FRA,France
1,LUX,1920,Europe,LUX,Luxembourg
111,GBR,1920,Europe,GBR,UK
7,AUS,1920,Oceania,AUS,Australia
7,BRA,1920,Americas,BRA,Brazil
194,USA,1920,Americas,USA,USA
1,NZL,1920,Oceania,NZL,New Zealand
5,GRE,1920,Europe,GRC,Greece
3,JPN,1920,Asia,JPN,Japan
52,FIN,1920,Europe,FIN,Finland
16,CAN,1920,Americas,CAN,Canada
21,RSA,1920,Africa,ZAF,South Africa
50,NED,1920,Europe,NLD,Netherlands
3,EST,1920,Europe,EST,Estonia
29,SUI,1920,Europe,CHE,Switzerland
23,ESP,1920,Europe,ESP,Spain
154,SWE,1920,Europe,SWE,Sweden
71,DEN,1920,Europe,DNK,Denmark
194,USA,1924,Americas,USA,USA
27,NED,1924,Europe,NLD,Netherlands
10,ARG,1924,Americas,ARG,Argentina
69,SUI,1924,Europe,CHE,Switzerland
5,POL,1924,Europe,POL,Poland
95,GBR,1924,Europe,GBR,UK
14,URU,1924,Americas,URY,Uruguay
6,EST,1924,Europe,EST,Estonia
81,SWE,1924,Europe,SWE,Sweden
120,FRA,1924,Europe,FRA,France
2,LUX,1924,Europe,LUX,Luxembourg
39,NOR,1924,Europe,NOR,Norway
4,POR,1924,Europe,PRT,Portugal
16,ROU,1924,Europe,ROU,Romania
11,AUS,1924,Oceania,AUS,Australia
8,AUT,1924,Europe,AUT,Austria
29,CAN,1924,Americas,CAN,Canada
67,FIN,1924,Europe,FIN,Finland
1,MON,1924,Europe,MCO,Monaco
14,DEN,1924,Europe,DNK,Denmark
1,NEP,1924,Asia,NPL,Nepal
5,HAI,1924,Americas,HTI,Haiti
1,JPN,1924,Asia,JPN,Japan
3,RSA,1924,Africa,ZAF,South Africa
1,GRE,1924,Europe,GRC,Greece
51,ITA,1924,Europe,ITA,Italy
2,IRL,1924,Europe,IRL,Ireland
22,HUN,1924,Europe,HUN,Hungary
7,IND,1924,Asia,IND,India
2,YUG,1924,Europe,SRB,Serbia
44,BEL,1924,Europe,BEL,Belgium
1,NZL,1924,Oceania,NZL,New Zealand
20,POL,1928,Europe,POL,Poland
21,HUN,1928,Europe,HUN,Hungary
1,CHI,1928,Americas,CHL,Chile
4,EGY,1928,Africa,EGY,Egypt
14,IND,1928,Asia,IND,India
24,NOR,1928,Europe,NOR,Norway
52,FRA,1928,Europe,FRA,France
3,ESP,1928,Europe,ESP,Spain
6,POR,1928,Europe,PRT,Portugal
1,LUX,1928,Europe,LUX,Luxembourg
6,BEL,1928,Europe,BEL,Belgium
9,EST,1928,Europe,EST,Estonia
53,SWE,1928,Europe,SWE,Sweden
6,RSA,1928,Africa,ZAF,South Africa
45,CAN,1928,Americas,CAN,Canada
29,FIN,1928,Europe,FIN,Finland
1,NZL,1928,Oceania,NZL,New Zealand
59,GBR,1928,Europe,GBR,UK
9,JPN,1928,Asia,JPN,Japan
4,AUS,1928,Oceania,AUS,Australia
72,ITA,1928,Europe,ITA,Italy
12,YUG,1928,Europe,SRB,Serbia
26,ARG,1928,Americas,ARG,Argentina
1,PHI,1928,Asia,PHL,Philippines
57,NED,1928,Europe,NLD,Netherlands
82,GER,1928,Europe,DEU,Germany
1,HAI,1928,Americas,HTI,Haiti
1,IRL,1928,Europe,IRL,Ireland
42,SUI,1928,Europe,CHE,Switzerland
17,URU,1928,Americas,URY,Uruguay
11,AUT,1928,Europe,AUT,Austria
15,DEN,1928,Europe,DNK,Denmark
102,USA,1928,Americas,USA,USA
59,CAN,1932,Americas,CAN,Canada
35,SWE,1932,Europe,SWE,Sweden
13,NED,1932,Europe,NLD,Netherlands
35,HUN,1932,Europe,HUN,Hungary
2,NZL,1932,Oceania,NZL,New Zealand
5,RSA,1932,Africa,ZAF,South Africa
11,DEN,1932,Europe,DNK,Denmark
4,ARG,1932,Americas,ARG,Argentina
1,ESP,1932,Europe,ESP,Spain
223,USA,1932,Americas,USA,USA
2,IRL,1932,Europe,IRL,Ireland
1,URU,1932,Americas,URY,Uruguay
2,MEX,1932,Americas,MEX,Mexico
15,IND,1932,Asia,IND,India
3,SUI,1932,Europe,CHE,Switzerland
77,ITA,1932,Europe,ITA,Italy
7,AUT,1932,Europe,AUT,Austria
35,GBR,1932,Europe,GBR,UK
21,POL,1932,Europe,POL,Poland
31,JPN,1932,Asia,JPN,Japan
5,AUS,1932,Oceania,AUS,Australia
32,FIN,1932,Europe,FIN,Finland
3,PHI,1932,Asia,PHL,Philippines
10,NOR,1932,Europe,NOR,Norway
57,GER,1932,Europe,DEU,Germany
1,BEL,1932,Europe,BEL,Belgium
42,FRA,1932,Europe,FRA,France
1,LAT,1932,Europe,LVA,Latvia
1,NZL,1936,Oceania,NZL,New Zealand
2,LAT,1936,Europe,LVA,Latvia
46,NOR,1936,Europe,NOR,Norway
53,GBR,1936,Europe,GBR,UK
19,IND,1936,Asia,IND,India
2,TUR,1936,Asia,TUR,Turkey
11,ARG,1936,Americas,ARG,Argentina
1,PHI,1936,Asia,PHL,Philippines
112,USA,1936,Americas,USA,USA
231,GER,1936,Europe,DEU,Germany
23,JPN,1936,Asia,JPN,Japan
37,NED,1936,Europe,NLD,Netherlands
1,YUG,1936,Europe,SRB,Serbia
16,MEX,1936,Americas,MEX,Mexico
5,EGY,1936,Africa,EGY,Egypt
6,DEN,1936,Europe,DNK,Denmark
7,EST,1936,Europe,EST,Estonia
45,SWE,1936,Europe,SWE,Sweden
60,AUT,1936,Europe,AUT,Austria
36,FIN,1936,Europe,FIN,Finland
35,CAN,1936,Americas,CAN,Canada
1,ROU,1936,Europe,ROU,Romania
1,AUS,1936,Oceania,AUS,Australia
43,HUN,1936,Europe,HUN,Hungary
76,ITA,1936,Europe,ITA,Italy
12,POL,1936,Europe,POL,Poland
3,POR,1936,Europe,PRT,Portugal
14,BEL,1936,Europe,BEL,Belgium
1,RSA,1936,Africa,ZAF,South Africa
45,FRA,1936,Europe,FRA,France
62,SUI,1936,Europe,CHE,Switzerland
20,IND,1948,Asia,IND,India
42,NED,1948,Europe,NLD,Netherlands
68,ITA,1948,Europe,ITA,Italy
1,PER,1948,Americas,PER,Peru
31,NOR,1948,Europe,NOR,Norway
51,DEN,1948,Europe,DNK,Denmark
3,JAM,1948,Americas,JAM,Jamaica
2,PAN,1948,Americas,PAN,Panama
1,IRL,1948,Europe,IRL,Ireland
77,FRA,1948,Europe,FRA,France
1,TTO,1948,Americas,TTO,Trinidad
2,CUB,1948,Americas,CUB,Cuba
2,KOR,1948,Asia,KOR,South Korea
3,ESP,1948,Europe,ESP,Spain
5,POR,1948,Europe,PRT,Portugal
3,URU,1948,Americas,URY,Uruguay
88,SWE,1948,Europe,SWE,Sweden
12,TUR,1948,Asia,TUR,Turkey
64,HUN,1948,Europe,HUN,Hungary
9,MEX,1948,Americas,MEX,Mexico
64,SUI,1948,Europe,CHE,Switzerland
63,GBR,1948,Europe,GBR,UK
42,FIN,1948,Europe,FIN,Finland
5,EGY,1948,Africa,EGY,Egypt
2,POL,1948,Europe,POL,Poland
16,YUG,1948,Europe,SRB,Serbia
1,PUR,1948,Americas,PRI,Puerto Rico
6,RSA,1948,Africa,ZAF,South Africa
168,USA,1948,Americas,USA,USA
1,SRI,1948,Asia,LKA,Sri Lanka
11,ARG,1948,Americas,ARG,Argentina
10,BRA,1948,Americas,BRA,Brazil
22,CAN,1948,Americas,CAN,Canada
16,AUT,1948,Europe,AUT,Austria
16,AUS,1948,Oceania,AUS,Australia
21,BEL,1948,Europe,BEL,Belgium
21,CAN,1952,Americas,CAN,Canada
12,JPN,1952,Asia,JPN,Japan
2,KOR,1952,Asia,KOR,South Korea
14,RSA,1952,Africa,ZAF,South Africa
2,TTO,1952,Americas,TTO,Trinidad
93,SWE,1952,Europe,SWE,Sweden
20,AUS,1952,Oceania,AUS,Australia
52,FIN,1952,Europe,FIN,Finland
15,IND,1952,Asia,IND,India
3,TUR,1952,Asia,TUR,Turkey
2,POR,1952,Europe,PRT,Portugal
1,EGY,1952,Africa,EGY,Egypt
1,VEN,1952,Americas,VEN,Venezuela
3,NZL,1952,Oceania,NZL,New Zealand
9,DEN,1952,Europe,DNK,Denmark
4,ROU,1952,Europe,ROU,Romania
4,CHI,1952,Americas,CHL,Chile
24,YUG,1952,Europe,SRB,Serbia
4,POL,1952,Europe,POL,Poland
1,MEX,1952,Americas,MEX,Mexico
39,SUI,1952,Europe,CHE,Switzerland
11,AUT,1952,Europe,AUT,Austria
8,JAM,1952,Americas,JAM,Jamaica
1,BUL,1952,Europe,BGR,Bulgaria
104,HUN,1952,Europe,HUN,Hungary
3,BRA,1952,Americas,BRA,Brazil
21,NED,1952,Europe,NLD,Netherlands
8,BEL,1952,Europe,BEL,Belgium
32,NOR,1952,Europe,NOR,Norway
1,IRL,1952,Europe,IRL,Ireland
6,ARG,1952,Americas,ARG,Argentina
52,GER,1952,Europe,DEU,Germany
1,LUX,1952,Europe,LUX,Luxembourg
56,ITA,1952,Europe,ITA,Italy
41,FRA,1952,Europe,FRA,France
14,URU,1952,Americas,URY,Uruguay
2,LIB,1952,Asia,LBN,Lebanon
1,ESP,1952,Europe,ESP,Spain
164,USA,1952,Americas,USA,USA
32,GBR,1952,Europe,GBR,UK
54,GER,1956,Europe,DEU,Germany
13,SUI,1956,Europe,CHE,Switzerland
49,SWE,1956,Europe,SWE,Sweden
7,NOR,1956,Europe,NOR,Norway
5,IRL,1956,Europe,IRL,Ireland
1,ISL,1956,Europe,ISL,Iceland
7,RSA,1956,Africa,ZAF,South Africa
39,CAN,1956,Americas,CAN,Canada
1,BRA,1956,Americas,BRA,Brazil
2,KOR,1956,Asia,KOR,South Korea
7,TUR,1956,Asia,TUR,Turkey
25,JPN,1956,Asia,JPN,Japan
67,AUS,1956,Oceania,AUS,Australia
66,HUN,1956,Europe,HUN,Hungary
2,BEL,1956,Europe,BEL,Belgium
16,AUT,1956,Europe,AUT,Austria
33,FRA,1956,Europe,FRA,France
18,BUL,1956,Europe,BGR,Bulgaria
2,ARG,1956,Americas,ARG,Argentina
14,PAK,1956,Asia,PAK,Pakistan
12,URU,1956,Americas,URY,Uruguay
46,GBR,1956,Europe,GBR,UK
149,USA,1956,Americas,USA,USA
38,FIN,1956,Europe,FIN,Finland
2,BAH,1956,Americas,BHS,Bahamas
19,ROU,1956,Europe,ROU,Romania
17,IND,1956,Asia,IND,India
23,YUG,1956,Europe,SRB,Serbia
20,POL,1956,Europe,POL,Poland
2,MEX,1956,Americas,MEX,Mexico
4,CHI,1956,Americas,CHL,Chile
6,DEN,1956,Europe,DNK,Denmark
55,ITA,1956,Europe,ITA,Italy
3,NZL,1956,Oceania,NZL,New Zealand
1,GRE,1956,Europe,GRC,Greece
19,FIN,1960,Europe,FIN,Finland
9,TUR,1960,Asia,TUR,Turkey
9,AUT,1960,Europe,AUT,Austria
17,YUG,1960,Europe,SRB,Serbia
15,ROU,1960,Europe,ROU,Romania
15,FRA,1960,Europe,FRA,France
1,ETH,1960,Africa,ETH,Ethiopia
14,SUI,1960,Europe,CHE,Switzerland
31,JPN,1960,Asia,JPN,Japan
3,NZL,1960,Oceania,NZL,New Zealand
7,BUL,1960,Europe,BGR,Bulgaria
30,CAN,1960,Americas,CAN,Canada
32,POL,1960,Europe,POL,Poland
13,BRA,1960,Americas,BRA,Brazil
89,ITA,1960,Europe,ITA,Italy
28,GBR,1960,Europe,GBR,UK
98,GER,1960,Europe,DEU,Germany
1,IRQ,1960,Asia,IRQ,Iraq
1,GHA,1960,Africa,GHA,Ghana
2,POR,1960,Europe,PRT,Portugal
46,AUS,1960,Oceania,AUS,Australia
1,MAR,1960,Africa,MAR,Morocco
3,GRE,1960,Europe,GRC,Greece
11,NOR,1960,Europe,NOR,Norway
23,DEN,1960,Europe,DNK,Denmark
5,NED,1960,Europe,NLD,Netherlands
1,MEX,1960,Americas,MEX,Mexico
13,IND,1960,Asia,IND,India
152,USA,1960,Americas,USA,USA
4,ARG,1960,Americas,ARG,Argentina
4,BEL,1960,Europe,BEL,Belgium
14,PAK,1960,Asia,PAK,Pakistan
1,VEN,1960,Americas,VEN,Venezuela
